platform,text,likes,comments,views,date,engagement,content_type,url
tiktok,POV: you meet your neighbour in the elevator 😳 #fyp #foryou #POV @gage.bills,247000,1006,2100000,2021-09-02,249438,video,https://www.tiktok.com/@kennelly_michelle/video/7003277952204934401
tiktok,#like#likes#follow#followme#likeme #recommendations#rec#repost#meme#memes#tik_tok#video#popular#trend#viralvideos#top,52900,3271,8700000,2022-01-28,58813,video,https://www.tiktok.com/@_humor.ru_/video/7058293692037221634
tiktok,Ooops 🙈,1600000,3077,25200000,2022-01-13,1605514,video,https://www.tiktok.com/@damdaniel2030/video/7052691152209841410
tiktok,#tiktokgovrek #music,933300,7415,13700000,2022-02-22,953615,video,https://www.tiktok.com/@vikaswwqs/video/7067433644792581377
tiktok,#foryourpage #fypシ゚viral #mrkebs24 #comedу #Stitch #pourtoi 😂😂,4996,43,56200,2023-02-22,5180,video,https://www.tiktok.com/@officialmrkebs24/video/7202787660094508293
tiktok,"Lord please, Bring her back 😩😭💗 #fyp #foryoupage #viral #gasstation #cute",5400000,18700,56600000,2025-11-01,5478700,video,https://www.tiktok.com/@officialarry1k/video/7567819728048114974
tiktok,😩😩😩#foryoupage #foryou #fyp #mariam 🍒,187,4,2185,2026-04-04,191,video,https://www.tiktok.com/@mariaam.hani/video/7625017062322195732
tiktok,type amen if you believe!!!#Jesus #God #Father #holyspirit #fyp #comebackhome,5100000,116000,23100000,2025-06-10,6816000,video,https://www.tiktok.com/@faithfulworshiperr/video/7514131927998205230
tiktok,#fyp #fy #foru #forupage #foryoupage #fyy #fypageofficiall #foryoupageofficial #fypofficial #fypofficiall #fyppppppppppppppppppppppp #im19 😆,374,19,12400,2025-06-14,411,video,https://www.tiktok.com/@princessna_lx/video/7515699927603776790
tiktok,Mourinho's reaction to Ronaldo 😲⚔️#football #soccer #foryou #foryoupage,3700000,6899,54800000,2026-03-13,3744199,video,https://www.tiktok.com/@sakicris.aep/video/7616758898430692630
tiktok,Millie so pretty 😍🔥  #edit #fyp #foryoupage #strangerthings #milliebobbybrown #milliebobbybrownedit ★ upload method ★ TG: @editing_news,3400000,17000,31000000,2025-12-18,3606400,video,https://www.tiktok.com/@realshamrok/video/7585166419717950732
tiktok,thank you sm for 200k😭🫶🏻 #bananaclip #80s #hairstyle #fyp,2100000,4343,20300000,2025-11-05,2138843,video,https://www.tiktok.com/@vintage_vanessa/video/7569274476215471390
tiktok,بسكويت ولا اطيب 🍪😍 #شي_طيب #حلويات #foodie #foodart #cookies #TikTokCookBook #instafood,25200,301,1200000,2022-03-16,26025,video,https://www.tiktok.com/@mara.lazeez/video/7075778590062988546
tiktok,مقاس الخصر 😉👖 #حرف_وحلول #lifehack #hack #tips #tricks #fyp #tipsandtricks #homemade #pants,25400,271,1500000,2022-01-31,26160,video,https://www.tiktok.com/@heraf.wa.holoul/video/7059420819948195073
tiktok,##foryoupage# fyp,262600,2739,3600000,2026-03-01,320039,video,https://www.tiktok.com/@u.s.a.cilap123/video/7612347682186611998
tiktok,#fyp #foryou #foryoupage 💜,1931,62,122200,2026-03-24,2292,video,https://www.tiktok.com/@....0o77/video/7620710265184587029
tiktok,#movie #fyp #flims,28700,141,3200000,2026-04-01,29640,video,https://www.tiktok.com/@chriefbegliiya2/video/7623623647093165334
tiktok,#flims #fyp #movies,23400,249,3700000,2026-03-30,26216,video,https://www.tiktok.com/@babangcesku17jv/video/7622864197050731798
tiktok,#tk #fyp #tikto,30200,158,1800000,2026-03-31,33164,video,https://www.tiktok.com/@dzhne8yj70/video/7623292177489136918
tiktok,#fyp 😻,99,4,1635,2026-04-03,104,video,https://www.tiktok.com/@kristina_21_k/video/7624487952286092552
tiktok,#wife #viral #foru #fyp #love 🫂🌷❤️,68,5,845,2026-03-29,74,video,https://www.tiktok.com/@puresouls02/video/7622765399561587988
tiktok,#fyp #flims #movies,48000,560,3500000,2026-03-01,51252,video,https://www.tiktok.com/@yci7uruol4/video/7612122062232112406
tiktok,#movies #flims #fyp,1051,6,48500,2026-03-06,1073,video,https://www.tiktok.com/@babangcesku17jv/video/7613943889832971542
tiktok,La calabaza #foryou #foryoupage #flypシ゚ #fypage,143600,739,1600000,2026-01-02,167239,video,https://www.tiktok.com/@genn.gomez/video/7590825235226610951
tiktok,#please_dont_under_riview_my_video_ ##foryou #foryoupage #fypシ゚viral🖤tiktok☆♡ シ゚viral #500kviews,12900,470,1100000,2026-03-20,14776,video,https://www.tiktok.com/@nelam_muneer4/video/7619373043118329119
tiktok,#trending #trand #faryoupage #fyp #faryou,655,15,19200,2026-03-09,711,video,https://www.tiktok.com/@its....me...azsa/video/7615289101209652488
tiktok,The lion made a different decision   #goviral #nature  #everyone #viewers,998,23,92100,2026-02-04,1203,video,https://www.tiktok.com/@theejiofors/video/7602912226986478870
tiktok,When i thought i have seen it all🤣🤣 #comedy #viralvideos #viralvideos,8382,197,674800,2025-11-06,9338,video,https://www.tiktok.com/@dlolfactory/video/7569574481476308246
tiktok,please don't under views this video plz tiktokteam 🥹🫵#trending🔥 #fpyシ #viralmyvideo #golmall_world #fpy_tiktok_viral😍 #foryoupage,3793,68,418800,2025-08-02,4029,video,https://www.tiktok.com/@golmaal_world/video/7534066442866642184
tiktok,"Inside the Claude Code leak 👀  🔓 Anthropic accidentally included their entire Claude Code source code in a routine update (512,000 lines, now copied 50,000+ times on GitHub) 🗺️ Developers found 44 finished but unreleased features, including KAIROS, an always-on background AI agent that works while you sleep 🐾 Plus a Tamagotchi-style terminal pet called BUDDY, and code that tracks when users swear at Claude as a frustration metric  #claudecode #anthropic #tech #siliconvalley #softwareengineer",1983,22,23300,2026-04-03,2164,video,https://www.tiktok.com/@zauey/video/7624318826053651725
tiktok,Happened only weeks after they denied a Govt Contract… #claude #ai #leak,10300,114,71100,2026-04-04,10560,video,https://www.tiktok.com/@kayjayohpcs/video/7624699902748151071
tiktok,"Anthropic just dropped Claude Conway, an always-on AI agent that could actually work like a real team member. Here's why this matters 👇 #ClaudeConway #Anthropic #AIAgent #AITools #KnowledgeWork",610,25,17300,2026-04-03,729,video,https://www.tiktok.com/@tjrobertson52/video/7624680412178042125
tiktok,Claude Code Lộ 512K Dòng Code Trên npm — Leak Hay Bất Cẩn? #ClaudeCode #Anthropic #AI #npm #BaoMat #CongNghe #OpenSource #SourceCode #TinAI,5775,84,134100,2026-03-31,6471,video,https://www.tiktok.com/@ainius.net/video/7623427267032583445
tiktok,"🚨 BREAKING: Anthropic has officially restricted third-party tools like OpenClaw! Starting April 4 (12pm PT), Claude Pro/Max subscriptions will NO longer apply usage limits to third-party harnesses. You'll need to turn on ""extra usage"" (pay-as-you-go) to continue. Anthropic is giving a one-time credit equal to your monthly sub (redeem by Apr 17) + discounts. Verified by Grok — check your email for details. If you're using OpenClaw, check if direct API keys still work. What will you do now? Switch to another AI? Comment below 👇 #Claude #Anthropic #OpenClaw #AI",2,2,734,2026-04-04,4,video,https://www.tiktok.com/@intelligencefrontier/video/7624699532579769632
tiktok,Everyone left @OpenAI for Claude… then OpenClaw turned AI into real agents and broke the pricing model.  Anthropic said “yeah that’s not included anymore” and now everyone’s probably running back 😂  #greenscreen,288,36,10800,2026-04-04,366,video,https://www.tiktok.com/@marcinteodoru/video/7624795960765467935
tiktok,Anthropic leaked HALF A MILLION lines of code… at 4AM 🤦‍♂️  internet copied it in minutes one dev rebuilt it before sunrise  you can’t make this up  learn to build your own AI in bio 🦞  #greenscreen,5264,195,94200,2026-04-01,6852,video,https://www.tiktok.com/@marcinteodoru/video/7623624348489895199
tiktok,"Join 5,000+ monthly active users 🚀   The world’s no.1 database for AI tips, tools & news 🤖  ✅ Weekly newsletter  ✅ Full step-by-step guides ✅ Latest tips & news   Explore for free now ➡️ Link in bio   #ai #claude #aitips #techtok #google",3,1,87,2026-04-04,4,video,https://www.tiktok.com/@publicdatabase.ai/video/7625016764925021462
tiktok,"Moral of the story: stick to economy or pay for business class. Premium economy is not worth your money, when it comes to Claude.   #ai #aiforbeginners #claude #anthropic #techtips @Claude",73,6,1865,2026-04-04,80,video,https://www.tiktok.com/@bigpictureclub/video/7624938329305287958
tiktok,"Anthropic just dropped the upgraded Claude 3.5 Sonnet, and while they’ve kept the same name, it’s packed with improvements. The most exciting part? Claude can now control computer screens, which is a huge step toward fully agentic workflows. While this feature is still in beta, it allows developers to automate tasks like navigating software and testing code directly on-screen. It’s part of Anthropic’s push to focus on practical developer tools, setting them apart from more general AI models like OpenAI’s offerings.  What’s interesting about Anthropic’s strategy is how much they’re leaning into the API business. They’re growing their API usage five times faster than OpenAI, and this release is clearly aimed at developers. By improving Claude’s coding abilities and adding experimental features like computer use, they’re focusing on niche capabilities that make a real difference in developer environments. While OpenAI is making headlines with its versatility, Anthropic is making waves by doubling down on what they do best.  Another exciting feature coming soon is Claude 3.5 Haiku. It promises even faster performance, with a focus on efficiency for those who need high-speed, high-performance AI for their coding tasks. This could make Anthropic an even more attractive option for developers and companies looking for tailored AI solutions.  The big takeaway here is how Anthropic is positioning itself as a major player in the API and developer tool space. They’re differentiating themselves with a specialized focus on growth in areas that matter most for devs. I’m looking forward to testing out the new tools and seeing how these updates improve workflows across the board. If you’re in product management, dev tools, or AI development, these updates are going to be hard to ignore.  #product #productmanager #productmanagement #startup #business #openai #llm #ai #microsoft #google #gemini #anthropic #claude #llama #meta #nvidia #career #careeradvice #mentor #mentorship #mentortiktok #mentortok #careertok #job #jobadvice #future #2024 #story #news #dev #coding #code #engineering #engineer #coder #sales #cs #marketing #agent #work #workflow #smart #thinking #strategy #cool #real #jobtips #hack #hacks #tip #tips #tech #techtok #techtiktok #openaidevday #aiupdates #techtrends #voiceAI #developerlife #sonnet #agent #humor #story #2025",8190,293,149000,2024-10-22,9195,video,https://www.tiktok.com/@nate.b.jones/video/7428665289467890974
tiktok,"videoAnthropic Claude 3.5 Sonnet Outshines ChatGPT 4o in Latest Launch  Anthropic introduces the new model Claude 3.5 Sonnet, showcasing double the speed of Claude 3 Opus and enhanced intelligence, surpassing OpenAI's GPT-4o and Google's Gemini 1.5 Pro in various benchmarks. The mid-tier model excels in visual tasks, including reading illegible handwriting flawlessly. With constant evolution, Anthropic maintains Sonnet 3.5 API pricing while ensuring a 200K token context window. Avail the model for free on claude.ai, supporting both image and document uploads.   Winning in coding abilities and graduate-level reasoning evaluations, Claude 3.5 Sonnet demonstrates significant advancements. Additionally, excelling in visual reasoning tests, the model proves proficient in interpreting complex visuals. Anthropic's announcement of the new Artifacts tool enhances Claude functionalities, fostering superior AI-generated content creation.   Witnessing the promising capabilities of Claude 3.5 Sonnet, users have a diverse AI tool to revolutionize everyday tasks. Replace ChatGPT 4o with Anthropic's latest model for enhanced performance.  #AI #Anthropic #Claude #Innovation",2,0,87,2024-06-21,2,video,https://www.tiktok.com/@best_ai_news/video/7382871344188345633
tiktok,cookr soon- we are so back🙆‍♂️,182,10,5221,2024-11-17,192,video,https://www.tiktok.com/@alsonchang/video/7438149152846007608
tiktok,Replying to @CamperMike  is the New Claude 3.5 Sonnet better? 🤔🔥 #ai #claude #chatgpt #chstgpt4 #fyp,13,0,633,2024-10-31,13,video,https://www.tiktok.com/@naz_dumanskyy/video/7431979120579448106
tiktok,Claude Code leaked. Seedance 2.0 is back and already destroying Kling. OpenAI killed Sora and is building something bigger. Google dropped the best open model on the planet. MIT just proved ChatGPT is a yes-man. Cursor merged Claude and Codex into one. And Anthropic has a new model they're too scared to release. This was the most insane week in AI. 👆 #ai #ainews #claude #openai #chatgpt,1903,22,33500,2026-04-03,2032,video,https://www.tiktok.com/@whymarcuswhy/video/7624605836647730439
tiktok,"Comment ""CLAUDE"" and follow me to get free Claude lessons. 5 Claude Code skills every beginner needs to install right now. All free, all installed by telling Claude to do it. 1. Frontend Design. Stops Claude from building generic AI-looking interfaces. Type /plugin, search frontend design, install. 2. Simplify. After Claude writes code, this spawns 3 agents to review it for quality and fix everything automatically. Type /simplify after any coding task. 3. Skill Creator. Tell it what workflow you want to automate and it generates the whole skill for you, including evals. Type /skill-creator. 4. Webapp Testing. Gives Claude a real browser so it tests your app. Type /plugin, search webapp testing, install. 5. MCP Builder. Teaches Claude how to connect to any API or tool you use. Type /plugin, search MCP builder, install. 3 of these are already built into Claude Code. The other 2 are one click away in the plugin marketplace. What are the best Claude Code skills to install? How do I make Claude Code build better websites? How do I test web apps with Claude Code? #ai #claudeai #coding #aitools #productivity",6556,664,89300,2026-03-30,8533,video,https://www.tiktok.com/@sabrina_ramonov/video/7623028220656487694
tiktok,Claude on dangerous mode warning. Use at your own caution.  Comment Claude for the free master class. #Claude #CEO #businessowner #entrepreneurlife #AItools,1417,86,15600,2026-04-04,1645,video,https://www.tiktok.com/@imjonathanacuna/video/7624781909540867359
tiktok,look at her go!! follow me for more AI experiments ☀️  #claude #ai #chatgpt #openclaw #claudecowork,17700,98,420400,2026-04-02,19285,video,https://www.tiktok.com/@shesthelife/video/7624117314748796174
tiktok,"People are calling Claude Channels an OpenClaw killer. I don't care about that — I'm just using it. I'm all-in on the Claude ecosystem. Claude Code runs my to-do list, my shopping list, my content pipeline. So when Channels dropped with iMessage support, I set it up immediately. It works. Mostly. Each channel is locked to one session. Your computer has to stay awake. Messages get dropped when Claude is busy. And iMessage splits permission codes into two threads on your phone — I spent an hour approving codes in the wrong thread. But I'm still using it every day because it's inside Claude Code. Same session, same context, same skills. Not sure I'll continue, but I'm giving it a serious chance. #claude #channels #openclaw #anthropic #aiagents #claudecode #technews #techbreakdown #buildinpublic #womenintech",24,3,641,2026-04-01,28,video,https://www.tiktok.com/@dianasaurbytes/video/7623617607714802958
tiktok,"Comment ""ANIMATION"" and follow me to get my 5 free master prompts. Claude AI makes 1000 videos for near $0. No budget. No team. No expensive software. You set up Claude Code with a pre-built skill called Remotion. It runs locally on your computer. Screenshots from the web, animated text, motion graphics, voiceovers, music. All generated with a simple prompt. I spent time creating 5 master prompts to recreate everything you see here. You get captions, subtitles, data visualizations... all automatic. Save this for later. #ai #claudecode #remotion #videoediting #aitools",2765,595,38500,2026-03-23,3865,video,https://www.tiktok.com/@sabrina_ramonov/video/7620523335473990926
tiktok,"Anthropic announced Claude 3, a family of 3 models: Haiku, Sonnet, and Opus. Opus beats GPT4 on all benchmarks, but is it actually that good? #claude #claudeai #claude3 #gpt4 #ai #aichatbot #anthropic",1732,42,58800,2024-03-05,1932,video,https://www.tiktok.com/@aisavvy/video/7342878916803136774
